"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"Янв. '10","0,6249","0,6189","0,6290","0,6076","0,95%"
"Дек. '09","0,6190","0,6081","0,6317","0,5979","1,86%"
"Нояб. '09","0,6077","0,6092","0,6150","0,5925","-0,08%"
"Окт. '09","0,6082","0,6248","0,6366","0,5990","-2,66%"
"Сент. '09","0,6248","0,6143","0,6341","0,5972","1,74%"
"Авг. '09","0,6141","0,5982","0,6190","0,5867","2,68%"
"Июль '09","0,5981","0,6073","0,6257","0,5977","-1,48%"
"Июнь '09","0,6071","0,6182","0,6329","0,5971","-1,75%"
"Май '09","0,6179","0,6764","0,6777","0,6173","-8,66%"
"Апр. '09","0,6765","0,6977","0,7006","0,6636","-3,11%"
"Март '09","0,6982","0,6997","0,7323","0,6766","-0,09%"
"Февр. '09","0,6988","0,6910","0,7116","0,6673","1,44%"
"Янв. '09","0,6889","0,6842","0,7407","0,6505","0,67%"
"Дек. '08","0,6843","0,6508","0,6966","0,6360","5,29%"
"Нояб. '08","0,6499","0,6218","0,6870","0,6097","4,44%"
"Окт. '08","0,6223","0,5606","0,6550","0,5594","10,95%"
"Сент. '08","0,5609","0,5517","0,5732","0,5355","2,15%"
"Авг. '08","0,5491","0,5041","0,5503","0,5039","8,93%"
"Июль '08","0,5041","0,5016","0,5090","0,4961","0,46%"
"Июнь '08","0,5018","0,5058","0,5152","0,5007","-0,52%"
"Май '08","0,5044","0,5031","0,5163","0,5022","0,22%"
"Апр. '08","0,5033","0,5042","0,5102","0,4988","-0,18%"
"Март '08","0,5042","0,5027","0,5071","0,4902","0,18%"
"Февр. '08","0,5033","0,5031","0,5167","0,5007","0,06%"
"Янв. '08","0,5030","0,5033","0,5171","0,5010","-0,18%"
"Дек. '07","0,5039","0,4866","0,5077","0,4835","3,62%"
"Нояб. '07","0,4863","0,4805","0,4914","0,4725","1,23%"
"Окт. '07","0,4804","0,4884","0,4940","0,4802","-1,66%"
"Сент. '07","0,4885","0,4957","0,5030","0,4880","-1,53%"
"Авг. '07","0,4961","0,4926","0,5089","0,4886","0,65%"
"Июль '07","0,4929","0,4978","0,4986","0,4841","-0,92%"
"Июнь '07","0,4975","0,5049","0,5097","0,4975","-1,49%"
"Май '07","0,5050","0,5000","0,5082","0,4981","0,96%"
"Апр. '07","0,5002","0,5077","0,5104","0,4966","-1,55%"
