,anonymousId,utm_source,utm_medium,utm_campaign,session_start_time,"duration, m"
47,0ef42050-0c05-11e8-bcd2-9b2327f4809e,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,CJNiaxAkackGcR6j3+AO6w==,2018-02-07 12:56:15.947000+00:00,0.0
48,0ef42050-0c05-11e8-bcd2-9b2327f4809e,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,a9Yj/+1ZvP9IJ1OM0mHmfg==,2018-02-07 12:56:16.720000+00:00,0.43333333333333335
49,0ef42050-0c05-11e8-bcd2-9b2327f4809e,No data,No data,No data,2018-02-07 12:56:58.971999+00:00,0.0
50,0f985c80-0c3a-11e8-9e0a-978ca6857375,No data,No data,No data,2018-02-07 19:06:54.892999+00:00,2.1
51,0fbc5d40-0c50-11e8-bd2e-1156c45b0d6b,No data,No data,No data,2018-02-07 21:44:26.150000+00:00,1.9
52,107a7070-0b7c-11e8-8cc5-e76333145d2b,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,kRb/7Mhako7wODYrdIYpdg==,2018-02-07 00:27:06.197999+00:00,0.0
53,10ec6980-0be7-11e8-adec-d3129de624de,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,a9Yj/+1ZvP9IJ1OM0mHmfg==,2018-02-07 09:12:49.704999+00:00,0.0
54,10ec6980-0be7-11e8-adec-d3129de624de,No data,No data,No data,2018-02-07 09:12:50.690999+00:00,1.1666666666666667
55,115c7120-0c2e-11e8-b218-2ff8b66bf47f,No data,No data,No data,2018-02-07 21:41:14.756999+00:00,0.0
56,1176e350-0bf4-11e8-8b11-2fdd082135ce,BkLyNS5m84QUJTn1zdOUkQ==,cpc,sacsEFndZMsTmazPITmjCQ==,2018-02-07 10:44:28.734999+00:00,0.21666666666666667
57,11ee3450-032f-11e8-9f86-8f64a7dc08dd,No data,No data,No data,2018-02-07 18:22:23.734999+00:00,0.03333333333333333
58,120865d0-0bb0-11e8-b23b-398f7087cc4d,eUdUPXMqN2CImzRw+SVnXA==,email,Uiwkan+XEQuhr4f4nqG7yg==,2018-02-07 02:39:08.878999+00:00,0.05
59,120865d0-0bb0-11e8-b23b-398f7087cc4d,No data,No data,No data,2018-02-07 02:39:40.128000+00:00,167.68333333333334
60,12c79ba0-0082-11e8-a950-2b5904cc811f,No data,No data,No data,2018-02-07 09:49:23.117000+00:00,190.21666666666667
61,13da4030-0c1f-11e8-b813-47b1ae9d036d,No data,No data,No data,2018-02-07 15:53:38.630000+00:00,0.2
62,14542b50-0c44-11e8-8f5f-a508e88d8226,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,CJNiaxAkackGcR6j3+AO6w==,2018-02-07 20:18:32.065999+00:00,0.0
63,14542b50-0c44-11e8-8f5f-a508e88d8226,No data,No data,No data,2018-02-07 20:18:51.967000+00:00,0.36666666666666664
64,14542b50-0c44-11e8-8f5f-a508e88d8226,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,CJNiaxAkackGcR6j3+AO6w==,2018-02-07 20:19:23.798000+00:00,0.0
65,14542b50-0c44-11e8-8f5f-a508e88d8226,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,a9Yj/+1ZvP9IJ1OM0mHmfg==,2018-02-07 20:19:33.589999+00:00,0.11666666666666667
66,14542b50-0c44-11e8-8f5f-a508e88d8226,No data,No data,No data,2018-02-07 20:19:46.937999+00:00,0.9
67,148f4b40-0c12-11e8-9db0-0784fbcd76a3,No data,No data,No data,2018-02-07 14:20:43.530999+00:00,5.166666666666667
68,1491bae0-0bd3-11e8-a801-0deb8b058f3c,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,scMIE0HCE9amvF9RU2DiyQ==,2018-02-07 06:49:48.145999+00:00,0.0
69,1491bae0-0bd3-11e8-a801-0deb8b058f3c,No data,No data,No data,2018-02-07 06:49:48.585000+00:00,58.65
70,1491bae0-0bd3-11e8-a801-0deb8b058f3c,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,scMIE0HCE9amvF9RU2DiyQ==,2018-02-07 07:49:31.046000+00:00,0.03333333333333333
71,1491bae0-0bd3-11e8-a801-0deb8b058f3c,No data,No data,No data,2018-02-07 11:55:15.461999+00:00,4.616666666666666
72,16072490-0c1a-11e8-98bd-d5ada798e26e,No data,No data,No data,2018-02-07 15:18:04.898999+00:00,0.0
73,16e91330-0be5-11e8-94e7-d13511492274,No data,No data,No data,2018-02-07 08:58:39.838999+00:00,6.333333333333333
74,17c08470-0724-11e8-aa94-5d1844e09a6f,No data,No data,No data,2018-02-07 08:44:14.177000+00:00,0.0
